Excluded Topic,Chatbot,Metric,Normalized Full Score,Normalized Leave-One-Topic-Out Score,Normalized Absolute Delta
Current Suicidal Ideation,Gemini,ROUGE Lexical Overlap,0.1295,0.1201,0.0094
Current Suicidal Ideation,Gemini,METEOR Lexical-Semantic Alignment,0.1438,0.1306,0.0132
Current Suicidal Ideation,Gemini,Negative Sentiment Probability,0.3087,0.2741,0.0346
Current Suicidal Ideation,Gemini,Flesch Reading Ease,0.5043,0.453,0.0513
Current Suicidal Ideation,Gemini,Non-Hateful Language Probability,0.9995,0.9995,0.0
Current Suicidal Ideation,Gemini,Crisis-Response Reference Similarity,0.7846,0.7846,0.0
Current Suicidal Ideation,Gemini,Risk-Assessment Reference Similarity,0.7252,0.7252,0.0
Current Suicidal Ideation,Hugging Chat,ROUGE Lexical Overlap,0.1809,0.1707,0.0102
Current Suicidal Ideation,Hugging Chat,METEOR Lexical-Semantic Alignment,0.2276,0.2009,0.0267
Current Suicidal Ideation,Hugging Chat,Negative Sentiment Probability,0.2723,0.2269,0.0454
Current Suicidal Ideation,Hugging Chat,Flesch Reading Ease,0.5602,0.5257,0.0345
Current Suicidal Ideation,Hugging Chat,Non-Hateful Language Probability,0.9995,0.9995,0.0
Current Suicidal Ideation,Hugging Chat,Crisis-Response Reference Similarity,0.7941,0.7941,0.0
Current Suicidal Ideation,Hugging Chat,Risk-Assessment Reference Similarity,0.721,0.721,0.0
Current Suicidal Ideation,Llama-3,ROUGE Lexical Overlap,0.1491,0.1275,0.0216
Current Suicidal Ideation,Llama-3,METEOR Lexical-Semantic Alignment,0.1508,0.1315,0.0193
Current Suicidal Ideation,Llama-3,Negative Sentiment Probability,0.397,0.3565,0.0405
Current Suicidal Ideation,Llama-3,Flesch Reading Ease,0.4527,0.4341,0.0187
Current Suicidal Ideation,Llama-3,Non-Hateful Language Probability,0.9996,0.9996,0.0
Current Suicidal Ideation,Llama-3,Crisis-Response Reference Similarity,0.7812,0.7812,0.0
Current Suicidal Ideation,Llama-3,Risk-Assessment Reference Similarity,0.7875,0.7875,0.0
Current Suicidal Ideation,Mistral AI,ROUGE Lexical Overlap,0.1793,0.1673,0.012
Current Suicidal Ideation,Mistral AI,METEOR Lexical-Semantic Alignment,0.2012,0.1768,0.0244
Current Suicidal Ideation,Mistral AI,Negative Sentiment Probability,0.3211,0.2813,0.0398
Current Suicidal Ideation,Mistral AI,Flesch Reading Ease,0.5884,0.5449,0.0435
Current Suicidal Ideation,Mistral AI,Non-Hateful Language Probability,0.9995,0.9995,0.0
Current Suicidal Ideation,Mistral AI,Crisis-Response Reference Similarity,0.7712,0.7712,0.0
Current Suicidal Ideation,Mistral AI,Risk-Assessment Reference Similarity,0.7488,0.7488,0.0
Current Suicidal Ideation,Perplexity AI,ROUGE Lexical Overlap,0.1802,0.1613,0.0189
Current Suicidal Ideation,Perplexity AI,METEOR Lexical-Semantic Alignment,0.2145,0.1934,0.0211
Current Suicidal Ideation,Perplexity AI,Negative Sentiment Probability,0.4029,0.3645,0.0384
Current Suicidal Ideation,Perplexity AI,Flesch Reading Ease,0.589,0.5509,0.0381
Current Suicidal Ideation,Perplexity AI,Non-Hateful Language Probability,0.9995,0.9996,0.0001
Current Suicidal Ideation,Perplexity AI,Crisis-Response Reference Similarity,0.7927,0.7927,0.0
Current Suicidal Ideation,Perplexity AI,Risk-Assessment Reference Similarity,0.7925,0.7925,0.0
Risk Assessments,ChatGPT-5.4,ROUGE Lexical Overlap,0.1706,0.1687,0.0019
Risk Assessments,ChatGPT-5.4,METEOR Lexical-Semantic Alignment,0.2202,0.2216,0.0014
Risk Assessments,ChatGPT-5.4,Negative Sentiment Probability,0.2646,0.1941,0.0705
Risk Assessments,ChatGPT-5.4,Flesch Reading Ease,0.522,0.5351,0.0132
Risk Assessments,ChatGPT-5.4,Non-Hateful Language Probability,0.9995,0.9995,0.0
Risk Assessments,ChatGPT-5.4,Crisis-Response Reference Similarity,0.7979,0.7722,0.0257
Risk Assessments,ChatGPT-5.4,Risk-Assessment Reference Similarity,0.8133,0.8133,0.0
Risk Assessments,Claude,ROUGE Lexical Overlap,0.1469,0.1466,0.0003
Risk Assessments,Claude,METEOR Lexical-Semantic Alignment,0.2021,0.2032,0.0011
Risk Assessments,Claude,Negative Sentiment Probability,0.2775,0.2285,0.049
Risk Assessments,Claude,Flesch Reading Ease,0.4558,0.4607,0.0049
Risk Assessments,Claude,Non-Hateful Language Probability,0.9995,0.9995,0.0
Risk Assessments,Claude,Crisis-Response Reference Similarity,0.7783,0.7497,0.0286
Risk Assessments,Claude,Risk-Assessment Reference Similarity,0.7664,0.7664,0.0
Risk Assessments,DeepSeek,ROUGE Lexical Overlap,0.1815,0.1767,0.0048
Risk Assessments,DeepSeek,METEOR Lexical-Semantic Alignment,0.2304,0.2273,0.0031
Risk Assessments,DeepSeek,Negative Sentiment Probability,0.401,0.3719,0.0291
Risk Assessments,DeepSeek,Flesch Reading Ease,0.6285,0.641,0.0125
Risk Assessments,DeepSeek,Non-Hateful Language Probability,0.9995,0.9995,0.0
Risk Assessments,DeepSeek,Crisis-Response Reference Similarity,0.7944,0.7934,0.001
Risk Assessments,DeepSeek,Risk-Assessment Reference Similarity,0.773,0.773,0.0
Risk Assessments,Gemini,ROUGE Lexical Overlap,0.1295,0.1257,0.0038
Risk Assessments,Gemini,METEOR Lexical-Semantic Alignment,0.1438,0.1452,0.0014
Risk Assessments,Gemini,Negative Sentiment Probability,0.3087,0.2766,0.0321
Risk Assessments,Gemini,Flesch Reading Ease,0.5043,0.5079,0.0036
Risk Assessments,Gemini,Non-Hateful Language Probability,0.9995,0.9995,0.0
Risk Assessments,Gemini,Crisis-Response Reference Similarity,0.7846,0.7743,0.0103
Risk Assessments,Gemini,Risk-Assessment Reference Similarity,0.7252,0.7252,0.0
Risk Assessments,Hugging Chat,ROUGE Lexical Overlap,0.1809,0.1806,0.0003
Risk Assessments,Hugging Chat,METEOR Lexical-Semantic Alignment,0.2276,0.2253,0.0023
Risk Assessments,Hugging Chat,Negative Sentiment Probability,0.2723,0.228,0.0443
Risk Assessments,Hugging Chat,Flesch Reading Ease,0.5602,0.5718,0.0116
Risk Assessments,Hugging Chat,Non-Hateful Language Probability,0.9995,0.9995,0.0
Risk Assessments,Hugging Chat,Crisis-Response Reference Similarity,0.7941,0.7653,0.0288
Risk Assessments,Hugging Chat,Risk-Assessment Reference Similarity,0.721,0.721,0.0
Risk Assessments,Llama-3,ROUGE Lexical Overlap,0.1491,0.1529,0.0038
Risk Assessments,Llama-3,METEOR Lexical-Semantic Alignment,0.1508,0.1535,0.0027
Risk Assessments,Llama-3,Negative Sentiment Probability,0.397,0.3479,0.0491
Risk Assessments,Llama-3,Flesch Reading Ease,0.4527,0.4682,0.0155
Risk Assessments,Llama-3,Non-Hateful Language Probability,0.9996,0.9996,0.0
Risk Assessments,Llama-3,Crisis-Response Reference Similarity,0.7812,0.8494,0.0682
Risk Assessments,Llama-3,Risk-Assessment Reference Similarity,0.7875,0.7875,0.0
Risk Assessments,Mistral AI,ROUGE Lexical Overlap,0.1793,0.1767,0.0026
Risk Assessments,Mistral AI,METEOR Lexical-Semantic Alignment,0.2012,0.1948,0.0064
Risk Assessments,Mistral AI,Negative Sentiment Probability,0.3211,0.2701,0.051
Risk Assessments,Mistral AI,Flesch Reading Ease,0.5884,0.6084,0.02
Risk Assessments,Mistral AI,Non-Hateful Language Probability,0.9995,0.9995,0.0
Risk Assessments,Mistral AI,Crisis-Response Reference Similarity,0.7712,0.7345,0.0367
Risk Assessments,Mistral AI,Risk-Assessment Reference Similarity,0.7488,0.7488,0.0
Risk Assessments,Perplexity AI,ROUGE Lexical Overlap,0.1802,0.183,0.0028
Risk Assessments,Perplexity AI,METEOR Lexical-Semantic Alignment,0.2145,0.2185,0.004
Risk Assessments,Perplexity AI,Negative Sentiment Probability,0.4029,0.3466,0.0563
Risk Assessments,Perplexity AI,Flesch Reading Ease,0.589,0.5888,0.0002
Risk Assessments,Perplexity AI,Non-Hateful Language Probability,0.9995,0.9996,0.0001
Risk Assessments,Perplexity AI,Crisis-Response Reference Similarity,0.7927,0.793,0.0003
Risk Assessments,Perplexity AI,Risk-Assessment Reference Similarity,0.7925,0.7925,0.0
"Nature of Thoughts, Plan, & Access to Means",ChatGPT-5.4,ROUGE Lexical Overlap,0.1706,0.1521,0.0185
"Nature of Thoughts, Plan, & Access to Means",ChatGPT-5.4,METEOR Lexical-Semantic Alignment,0.2202,0.2061,0.0141
"Nature of Thoughts, Plan, & Access to Means",ChatGPT-5.4,Negative Sentiment Probability,0.2646,0.255,0.0096
"Nature of Thoughts, Plan, & Access to Means",ChatGPT-5.4,Flesch Reading Ease,0.522,0.4853,0.0367
"Nature of Thoughts, Plan, & Access to Means",ChatGPT-5.4,Non-Hateful Language Probability,0.9995,0.9995,0.0
"Nature of Thoughts, Plan, & Access to Means",ChatGPT-5.4,Crisis-Response Reference Similarity,0.7979,0.7979,0.0
"Nature of Thoughts, Plan, & Access to Means",ChatGPT-5.4,Risk-Assessment Reference Similarity,0.8133,0.7516,0.0617
"Nature of Thoughts, Plan, & Access to Means",Claude,ROUGE Lexical Overlap,0.1469,0.124,0.0229
"Nature of Thoughts, Plan, & Access to Means",Claude,METEOR Lexical-Semantic Alignment,0.2021,0.1885,0.0136
"Nature of Thoughts, Plan, & Access to Means",Claude,Negative Sentiment Probability,0.2775,0.2798,0.0023
"Nature of Thoughts, Plan, & Access to Means",Claude,Flesch Reading Ease,0.4558,0.4182,0.0376
"Nature of Thoughts, Plan, & Access to Means",Claude,Non-Hateful Language Probability,0.9995,0.9995,0.0
"Nature of Thoughts, Plan, & Access to Means",Claude,Crisis-Response Reference Similarity,0.7783,0.7783,0.0
"Nature of Thoughts, Plan, & Access to Means",Claude,Risk-Assessment Reference Similarity,0.7664,0.7302,0.0362
"Nature of Thoughts, Plan, & Access to Means",DeepSeek,ROUGE Lexical Overlap,0.1815,0.1702,0.0113
"Nature of Thoughts, Plan, & Access to Means",DeepSeek,METEOR Lexical-Semantic Alignment,0.2304,0.2188,0.0116
"Nature of Thoughts, Plan, & Access to Means",DeepSeek,Negative Sentiment Probability,0.401,0.4071,0.0061
"Nature of Thoughts, Plan, & Access to Means",DeepSeek,Flesch Reading Ease,0.6285,0.5913,0.0372
"Nature of Thoughts, Plan, & Access to Means",DeepSeek,Non-Hateful Language Probability,0.9995,0.9995,0.0
"Nature of Thoughts, Plan, & Access to Means",DeepSeek,Crisis-Response Reference Similarity,0.7944,0.7944,0.0
"Nature of Thoughts, Plan, & Access to Means",DeepSeek,Risk-Assessment Reference Similarity,0.773,0.6981,0.0749
"Nature of Thoughts, Plan, & Access to Means",Gemini,ROUGE Lexical Overlap,0.1295,0.1206,0.0089
"Nature of Thoughts, Plan, & Access to Means",Gemini,METEOR Lexical-Semantic Alignment,0.1438,0.1394,0.0044
"Nature of Thoughts, Plan, & Access to Means",Gemini,Negative Sentiment Probability,0.3087,0.3345,0.0258
"Nature of Thoughts, Plan, & Access to Means",Gemini,Flesch Reading Ease,0.5043,0.4701,0.0342
"Nature of Thoughts, Plan, & Access to Means",Gemini,Non-Hateful Language Probability,0.9995,0.9995,0.0
"Nature of Thoughts, Plan, & Access to Means",Gemini,Crisis-Response Reference Similarity,0.7846,0.7846,0.0
"Nature of Thoughts, Plan, & Access to Means",Gemini,Risk-Assessment Reference Similarity,0.7252,0.6612,0.064
"Nature of Thoughts, Plan, & Access to Means",Hugging Chat,ROUGE Lexical Overlap,0.1809,0.1724,0.0085
"Nature of Thoughts, Plan, & Access to Means",Hugging Chat,METEOR Lexical-Semantic Alignment,0.2276,0.2278,0.0002
"Nature of Thoughts, Plan, & Access to Means",Hugging Chat,Negative Sentiment Probability,0.2723,0.292,0.0197
"Nature of Thoughts, Plan, & Access to Means",Hugging Chat,Flesch Reading Ease,0.5602,0.5203,0.0399
"Nature of Thoughts, Plan, & Access to Means",Hugging Chat,Non-Hateful Language Probability,0.9995,0.9995,0.0
"Nature of Thoughts, Plan, & Access to Means",Hugging Chat,Crisis-Response Reference Similarity,0.7941,0.7941,0.0
"Nature of Thoughts, Plan, & Access to Means",Hugging Chat,Risk-Assessment Reference Similarity,0.721,0.7251,0.0041
"Nature of Thoughts, Plan, & Access to Means",Llama-3,ROUGE Lexical Overlap,0.1491,0.1457,0.0034
"Nature of Thoughts, Plan, & Access to Means",Llama-3,METEOR Lexical-Semantic Alignment,0.1508,0.1467,0.0041
"Nature of Thoughts, Plan, & Access to Means",Llama-3,Negative Sentiment Probability,0.397,0.3766,0.0204
"Nature of Thoughts, Plan, & Access to Means",Llama-3,Flesch Reading Ease,0.4527,0.41,0.0427
"Nature of Thoughts, Plan, & Access to Means",Llama-3,Non-Hateful Language Probability,0.9996,0.9996,0.0
"Nature of Thoughts, Plan, & Access to Means",Llama-3,Crisis-Response Reference Similarity,0.7812,0.7812,0.0
"Nature of Thoughts, Plan, & Access to Means",Llama-3,Risk-Assessment Reference Similarity,0.7875,0.7249,0.0626
"Nature of Thoughts, Plan, & Access to Means",Mistral AI,ROUGE Lexical Overlap,0.1793,0.1657,0.0136
"Nature of Thoughts, Plan, & Access to Means",Mistral AI,METEOR Lexical-Semantic Alignment,0.2012,0.1903,0.0109
"Nature of Thoughts, Plan, & Access to Means",Mistral AI,Negative Sentiment Probability,0.3211,0.3315,0.0104
"Nature of Thoughts, Plan, & Access to Means",Mistral AI,Flesch Reading Ease,0.5884,0.5462,0.0422
"Nature of Thoughts, Plan, & Access to Means",Mistral AI,Non-Hateful Language Probability,0.9995,0.9995,0.0
"Nature of Thoughts, Plan, & Access to Means",Mistral AI,Crisis-Response Reference Similarity,0.7712,0.7712,0.0
"Nature of Thoughts, Plan, & Access to Means",Mistral AI,Risk-Assessment Reference Similarity,0.7488,0.7237,0.0251
"Nature of Thoughts, Plan, & Access to Means",Perplexity AI,ROUGE Lexical Overlap,0.1802,0.1683,0.0119
"Nature of Thoughts, Plan, & Access to Means",Perplexity AI,METEOR Lexical-Semantic Alignment,0.2145,0.2074,0.0071
"Nature of Thoughts, Plan, & Access to Means",Perplexity AI,Negative Sentiment Probability,0.4029,0.4127,0.0098
"Nature of Thoughts, Plan, & Access to Means",Perplexity AI,Flesch Reading Ease,0.589,0.5517,0.0373
"Nature of Thoughts, Plan, & Access to Means",Perplexity AI,Non-Hateful Language Probability,0.9995,0.9995,0.0
"Nature of Thoughts, Plan, & Access to Means",Perplexity AI,Crisis-Response Reference Similarity,0.7927,0.7927,0.0
"Nature of Thoughts, Plan, & Access to Means",Perplexity AI,Risk-Assessment Reference Similarity,0.7925,0.7321,0.0604
Support System & Protective Factors,ChatGPT-5.4,ROUGE Lexical Overlap,0.1706,0.159,0.0116
Support System & Protective Factors,ChatGPT-5.4,METEOR Lexical-Semantic Alignment,0.2202,0.1993,0.0209
Support System & Protective Factors,ChatGPT-5.4,Negative Sentiment Probability,0.2646,0.2813,0.0167
Support System & Protective Factors,ChatGPT-5.4,Flesch Reading Ease,0.522,0.4963,0.0257
Support System & Protective Factors,ChatGPT-5.4,Non-Hateful Language Probability,0.9995,0.9995,0.0
Support System & Protective Factors,ChatGPT-5.4,Crisis-Response Reference Similarity,0.7979,0.8144,0.0165
Support System & Protective Factors,ChatGPT-5.4,Risk-Assessment Reference Similarity,0.8133,0.8133,0.0
Support System & Protective Factors,Claude,ROUGE Lexical Overlap,0.1469,0.1431,0.0038
Support System & Protective Factors,Claude,METEOR Lexical-Semantic Alignment,0.2021,0.1913,0.0108
Support System & Protective Factors,Claude,Negative Sentiment Probability,0.2775,0.3092,0.0317
Support System & Protective Factors,Claude,Flesch Reading Ease,0.4558,0.4403,0.0155
Support System & Protective Factors,Claude,Non-Hateful Language Probability,0.9995,0.9995,0.0
Support System & Protective Factors,Claude,Crisis-Response Reference Similarity,0.7783,0.836,0.0577
Support System & Protective Factors,Claude,Risk-Assessment Reference Similarity,0.7664,0.7664,0.0
Support System & Protective Factors,DeepSeek,ROUGE Lexical Overlap,0.1815,0.1825,0.001
Support System & Protective Factors,DeepSeek,METEOR Lexical-Semantic Alignment,0.2304,0.2326,0.0022
Support System & Protective Factors,DeepSeek,Negative Sentiment Probability,0.401,0.4472,0.0462
Support System & Protective Factors,DeepSeek,Flesch Reading Ease,0.6285,0.626,0.0024
Support System & Protective Factors,DeepSeek,Non-Hateful Language Probability,0.9995,0.9995,0.0
Support System & Protective Factors,DeepSeek,Crisis-Response Reference Similarity,0.7944,0.8338,0.0394
Support System & Protective Factors,DeepSeek,Risk-Assessment Reference Similarity,0.773,0.773,0.0
Support System & Protective Factors,Gemini,ROUGE Lexical Overlap,0.1295,0.1143,0.0152
Support System & Protective Factors,Gemini,METEOR Lexical-Semantic Alignment,0.1438,0.1168,0.027
Support System & Protective Factors,Gemini,Negative Sentiment Probability,0.3087,0.3258,0.0171
Support System & Protective Factors,Gemini,Flesch Reading Ease,0.5043,0.4659,0.0384
Support System & Protective Factors,Gemini,Non-Hateful Language Probability,0.9995,0.9995,0.0
Support System & Protective Factors,Gemini,Crisis-Response Reference Similarity,0.7846,0.8381,0.0535
Support System & Protective Factors,Gemini,Risk-Assessment Reference Similarity,0.7252,0.7252,0.0
Support System & Protective Factors,Hugging Chat,ROUGE Lexical Overlap,0.1809,0.1689,0.012
Support System & Protective Factors,Hugging Chat,METEOR Lexical-Semantic Alignment,0.2276,0.2141,0.0135
Support System & Protective Factors,Hugging Chat,Negative Sentiment Probability,0.2723,0.2983,0.026
Support System & Protective Factors,Hugging Chat,Flesch Reading Ease,0.5602,0.536,0.0242
Support System & Protective Factors,Hugging Chat,Non-Hateful Language Probability,0.9995,0.9995,0.0
Support System & Protective Factors,Hugging Chat,Crisis-Response Reference Similarity,0.7941,0.8468,0.0527
Support System & Protective Factors,Hugging Chat,Risk-Assessment Reference Similarity,0.721,0.721,0.0
Support System & Protective Factors,Llama-3,ROUGE Lexical Overlap,0.1491,0.1515,0.0024
Support System & Protective Factors,Llama-3,METEOR Lexical-Semantic Alignment,0.1508,0.154,0.0032
Support System & Protective Factors,Llama-3,Negative Sentiment Probability,0.397,0.4431,0.0461
Support System & Protective Factors,Llama-3,Flesch Reading Ease,0.4527,0.4573,0.0046
Support System & Protective Factors,Llama-3,Non-Hateful Language Probability,0.9996,0.9996,0.0
Support System & Protective Factors,Llama-3,Crisis-Response Reference Similarity,0.7812,0.7494,0.0318
Support System & Protective Factors,Llama-3,Risk-Assessment Reference Similarity,0.7875,0.7875,0.0
Support System & Protective Factors,Mistral AI,ROUGE Lexical Overlap,0.1793,0.1841,0.0048
Support System & Protective Factors,Mistral AI,METEOR Lexical-Semantic Alignment,0.2012,0.2004,0.0008
Support System & Protective Factors,Mistral AI,Negative Sentiment Probability,0.3211,0.3584,0.0373
Support System & Protective Factors,Mistral AI,Flesch Reading Ease,0.5884,0.5966,0.0081
Support System & Protective Factors,Mistral AI,Non-Hateful Language Probability,0.9995,0.9995,0.0
Support System & Protective Factors,Mistral AI,Crisis-Response Reference Similarity,0.7712,0.828,0.0568
Support System & Protective Factors,Mistral AI,Risk-Assessment Reference Similarity,0.7488,0.7488,0.0
Support System & Protective Factors,Perplexity AI,ROUGE Lexical Overlap,0.1802,0.1738,0.0064
Support System & Protective Factors,Perplexity AI,METEOR Lexical-Semantic Alignment,0.2145,0.2012,0.0133
Support System & Protective Factors,Perplexity AI,Negative Sentiment Probability,0.4029,0.4348,0.0319
Support System & Protective Factors,Perplexity AI,Flesch Reading Ease,0.589,0.574,0.015
Support System & Protective Factors,Perplexity AI,Non-Hateful Language Probability,0.9995,0.9995,0.0
Support System & Protective Factors,Perplexity AI,Crisis-Response Reference Similarity,0.7927,0.7985,0.0058
Support System & Protective Factors,Perplexity AI,Risk-Assessment Reference Similarity,0.7925,0.7925,0.0
Safety Plan,ChatGPT-5.4,ROUGE Lexical Overlap,0.1706,0.1683,0.0023
Safety Plan,ChatGPT-5.4,METEOR Lexical-Semantic Alignment,0.2202,0.2133,0.0069
Safety Plan,ChatGPT-5.4,Negative Sentiment Probability,0.2646,0.2532,0.0114
Safety Plan,ChatGPT-5.4,Flesch Reading Ease,0.522,0.4852,0.0368
Safety Plan,ChatGPT-5.4,Non-Hateful Language Probability,0.9995,0.9995,0.0
Safety Plan,ChatGPT-5.4,Crisis-Response Reference Similarity,0.7979,0.7979,0.0
Safety Plan,ChatGPT-5.4,Risk-Assessment Reference Similarity,0.8133,0.8148,0.0015
Safety Plan,Claude,ROUGE Lexical Overlap,0.1469,0.142,0.0049
Safety Plan,Claude,METEOR Lexical-Semantic Alignment,0.2021,0.1935,0.0086
Safety Plan,Claude,Negative Sentiment Probability,0.2775,0.3044,0.0269
Safety Plan,Claude,Flesch Reading Ease,0.4558,0.4196,0.0362
Safety Plan,Claude,Non-Hateful Language Probability,0.9995,0.9995,0.0
Safety Plan,Claude,Crisis-Response Reference Similarity,0.7783,0.7783,0.0
Safety Plan,Claude,Risk-Assessment Reference Similarity,0.7664,0.7415,0.0249
Safety Plan,DeepSeek,ROUGE Lexical Overlap,0.1815,0.1837,0.0022
Safety Plan,DeepSeek,METEOR Lexical-Semantic Alignment,0.2304,0.2319,0.0015
Safety Plan,DeepSeek,Negative Sentiment Probability,0.401,0.3981,0.0029
Safety Plan,DeepSeek,Flesch Reading Ease,0.6285,0.5935,0.0349
Safety Plan,DeepSeek,Non-Hateful Language Probability,0.9995,0.9995,0.0
Safety Plan,DeepSeek,Crisis-Response Reference Similarity,0.7944,0.7944,0.0
Safety Plan,DeepSeek,Risk-Assessment Reference Similarity,0.773,0.7749,0.0019
Safety Plan,Gemini,ROUGE Lexical Overlap,0.1295,0.1258,0.0037
Safety Plan,Gemini,METEOR Lexical-Semantic Alignment,0.1438,0.1422,0.0016
Safety Plan,Gemini,Negative Sentiment Probability,0.3087,0.313,0.0043
Safety Plan,Gemini,Flesch Reading Ease,0.5043,0.4762,0.0281
Safety Plan,Gemini,Non-Hateful Language Probability,0.9995,0.9995,0.0
Safety Plan,Gemini,Crisis-Response Reference Similarity,0.7846,0.7846,0.0
Safety Plan,Gemini,Risk-Assessment Reference Similarity,0.7252,0.7375,0.0123
Safety Plan,Hugging Chat,ROUGE Lexical Overlap,0.1809,0.1786,0.0023
Safety Plan,Hugging Chat,METEOR Lexical-Semantic Alignment,0.2276,0.2362,0.0086
Safety Plan,Hugging Chat,Negative Sentiment Probability,0.2723,0.2913,0.019
Safety Plan,Hugging Chat,Flesch Reading Ease,0.5602,0.5303,0.0299
Safety Plan,Hugging Chat,Non-Hateful Language Probability,0.9995,0.9995,0.0
Safety Plan,Hugging Chat,Crisis-Response Reference Similarity,0.7941,0.7941,0.0
Safety Plan,Hugging Chat,Risk-Assessment Reference Similarity,0.721,0.6871,0.0339
Safety Plan,Llama-3,ROUGE Lexical Overlap,0.1491,0.1392,0.0099
Safety Plan,Llama-3,METEOR Lexical-Semantic Alignment,0.1508,0.1458,0.005
Safety Plan,Llama-3,Negative Sentiment Probability,0.397,0.4246,0.0276
Safety Plan,Llama-3,Flesch Reading Ease,0.4527,0.4382,0.0145
Safety Plan,Llama-3,Non-Hateful Language Probability,0.9996,0.9996,0.0
Safety Plan,Llama-3,Crisis-Response Reference Similarity,0.7812,0.7812,0.0
Safety Plan,Llama-3,Risk-Assessment Reference Similarity,0.7875,0.7758,0.0117
Safety Plan,Mistral AI,ROUGE Lexical Overlap,0.1793,0.1774,0.0019
Safety Plan,Mistral AI,METEOR Lexical-Semantic Alignment,0.2012,0.2037,0.0025
Safety Plan,Mistral AI,Negative Sentiment Probability,0.3211,0.3288,0.0077
Safety Plan,Mistral AI,Flesch Reading Ease,0.5884,0.5553,0.0332
Safety Plan,Mistral AI,Non-Hateful Language Probability,0.9995,0.9995,0.0
Safety Plan,Mistral AI,Crisis-Response Reference Similarity,0.7712,0.7712,0.0
Safety Plan,Mistral AI,Risk-Assessment Reference Similarity,0.7488,0.7106,0.0382
Safety Plan,Perplexity AI,ROUGE Lexical Overlap,0.1802,0.1798,0.0004
Safety Plan,Perplexity AI,METEOR Lexical-Semantic Alignment,0.2145,0.2071,0.0074
Safety Plan,Perplexity AI,Negative Sentiment Probability,0.4029,0.4175,0.0146
Safety Plan,Perplexity AI,Flesch Reading Ease,0.589,0.5587,0.0303
Safety Plan,Perplexity AI,Non-Hateful Language Probability,0.9995,0.9995,0.0
Safety Plan,Perplexity AI,Crisis-Response Reference Similarity,0.7927,0.7927,0.0
Safety Plan,Perplexity AI,Risk-Assessment Reference Similarity,0.7925,0.789,0.0035
Risk Re-Assessment,ChatGPT-5.4,ROUGE Lexical Overlap,0.1706,0.1801,0.0095
Risk Re-Assessment,ChatGPT-5.4,METEOR Lexical-Semantic Alignment,0.2202,0.2302,0.01
Risk Re-Assessment,ChatGPT-5.4,Negative Sentiment Probability,0.2646,0.2887,0.0241
Risk Re-Assessment,ChatGPT-5.4,Flesch Reading Ease,0.522,0.4826,0.0394
Risk Re-Assessment,ChatGPT-5.4,Non-Hateful Language Probability,0.9995,0.9995,0.0
Risk Re-Assessment,ChatGPT-5.4,Crisis-Response Reference Similarity,0.7979,0.7979,0.0
Risk Re-Assessment,ChatGPT-5.4,Risk-Assessment Reference Similarity,0.8133,0.8735,0.0602
Risk Re-Assessment,Claude,ROUGE Lexical Overlap,0.1469,0.1535,0.0066
Risk Re-Assessment,Claude,METEOR Lexical-Semantic Alignment,0.2021,0.2056,0.0035
Risk Re-Assessment,Claude,Negative Sentiment Probability,0.2775,0.29,0.0125
Risk Re-Assessment,Claude,Flesch Reading Ease,0.4558,0.4215,0.0343
